feature	fd1f9e9e993e374d3a40f750a85dfa6e	X99bccd58aaeb00f98e22add40be6e36b	X6420671c26eef32065e0275c8cd6701e	f864ed2c52dd0ee16ed932d4c4c166de	b4f28264f150902936030ef29ce2a10a	X9b6acfb0708fe91f75081d6801659932	X5cb0182033909c6dea7fc6cb598436a5	e93b313352019b8113e7fc66bf757917	X9ee9d7f1e7a96963f1ee2668f858fced	b407c0316dbd17ba50708ee7a6bb48e6	e23db0927268e80a7bc629e7793e11d4	X55b7688dfd42d9b2545d67bb5b0f086c	X1569f7ae988e26c905ab8fab427c8a0d	X08a0cf376add32f3f4b57ec1e82a7a27	be22632d5e3f6175707a3213d7a90ad2	b6ecd20f301035741915d6c32bda2410	eafd20ce1f25fbd8c737f0086f81c11b	X44158349d8858abc6c04aada0c131da5	X4b7712254e4dd8d5bc585d4a6c5c2e88	d114fb4c335125128be28401522dd41a	fd496fd32dc8c08ade2e8b6c9d8ee13d	ee6b0302402ac29fe5a19e51672a3283	X302d0c312461ee75b22821e954f88ba9	X1a65b568a8cbab6afc60587b3a3562c3	a92e27080262556ed1c060b8411141f6	X799b4308ac6b3570302274b3843bbbba	X573a1b003a4f1a5c8da6c21d22650fb2	X89f8b6cf08a9c941be608629f1287d09	X6be00ecd6672ff69a6afcffc4c0ea0e2	c1624e84b1704a8e5f5f2a41d8737493	X16294d1e7cbbbf2f60c486bd6b193b90	d71658ca9c27d685841dfca61823eb95	X2b1619989536df3d37e221dcc84ba7bc	X959aeca1a65ce24599aaed29828c33f0	a83d067822df1efdda6e0848ca920d14	f22e4f0d218aa62ff1ca039104d15a68	X17b8cbca2743de33484d559e0bf12cc9	X8feccd7313bcb9c4ded7d044b77ea1af	X6feb7dcd3b2f67420b420039a234198e	X168dc8cb9285963c9ab81ea2875b5d98	f180ce7374201d84cccd514044fc1f99	d611e03044e800bf023cfc92bec2106a	a730ef0685ea600be854be1842a6b362	e51fc3bc6d08ae82b3299bff3739b1f6	X58da6988f3a0fae09c061e9775e35980	f934328f40dd0490f0ba1e8b34dff01e	cc1c1f8febcd19956e4fe51b367672fb	e4d7ec116468af7a897667872f28e30d	X9772f92f79ea8b9d8fcddf2410e06802	X6726c2626997de6acc25552de5f09d82	X970b8c4828f3cc86fab57e48bb8fad63	X7c3550e521d8dd035366eac5c64f2e47	b7d000a0302fb186f0c0d3ed19e7fc1f	X6ab475426af806ca2528a3b20d77cde8	X629f41c0de31ba20f5d2b3f4c69e09c1	X72bf6f8e32de3042bcea08f2a8fffae0	X35195a80f6fb69ef8bd6827d1b045aad	de7606f9f340dfe3787aad590dc88e9e	X5f8d35126b0a7321413d21487ec72b73	X419af6db3c0709d63ffc1933ab11b24c	X2fb5a4a7d5e419920ec9257327a118ca	X8e493df449e84acb4e24f5811ff3599b	a663a01aeb4dbb88bbe0a9840e8f64dc	X533b6c05a74b2c25a94f884d6fe42f9d	e865f29a716e8d51f83931befa951240	X743f7360159fe13c57904b195e80859f	c16dcac354d2cf6baf9294c744a1ebe5	d60b96014cef09d74aaa2fa1fbc9f3ac	X7c3d7711fd15460714ece118b35c0576	f5d95230ea5c7be589ebfb2654751f6a	X3578cafb57e4b2ca4748b46cf444ac12	X12427d591e0e9445da48e730b2db3b9a	c8b4d41f5529f56772e9988166516372	X255d3e378354ea91e18121d620d94e79	b7a1c874d8d176c53435ea5b3fd10286	X55beed6d1a19ce34788b66488ffe3917	dde9400c29c51f5923cda7253649204b	X0c053c38cdbe319bdd539363e59dcc31	X286cdd25e778d56bcb2d8fe45c803961	X8ca8266de22f80a38cc348f66f911331	X0f94d5594dec0e0879f3da115d859f2c	d00a3564e47e0d67440f9a4c47307f59	X693de09a317c267d5af55841893aec6e	bbbf807fccaf8b5896d4eb82f2ca7cb6	X9f13b19008d5919b2d49905d2ca06b99	db707b4e4367788f6f0f53525b62c61d	df192232ea85bc2f6a3adcadaa22b4e3	bc9f5044e47b189552e9b5746eccd751	X031b77a75bff7a6723d26e7e2fee4609	ce6b1ca94056d100a1df87a6ed7a90bc	X77179c914d854ab269c8f9ae2e709647	X24ac1cbe3fb5bb0861a7639da9aa87f4	X7c2872d44cd07d6000ee0ee0c689d778	X3955aedaf9628d8081af01e5708cc9d3	X1d8b84a03912257db768016645b454a9	f61299313ce0559d2a53d6b9a43edecf	abca3120681f80e5a837b07d3c11056e	X6facdf45c29be6603b1ecd81fe753105	d36c7fad0a492ec8635894778c85d7c5	X6e2d800e4a8396f0f698ad0060b1e90b	X78f454d600bcc8b21d364dce8d58cf4e	babd95935bd068424c6c2dc26382ece0	fdd1c7df7465312a55da2edab91d6ae3	X5959ef7d798c80eafd917b45eb54f1c0
X11402.MC177.fastq.gz	0	36	0	0	0	0	0	0	0	0	522	0	0	0	0	0	0	0	0	0	86	0	2	0	1759	0	4	0	0	0	0	0	0	0	0	34	5	0	0	10926	0	0	0	0	0	0	931	0	0	9	0	0	0	0	128	0	0	0	255	0	0	0	266	0	0	0	0	0	19	129	0	0	0	0	0	0	0	0	54	82	0	0	0	0	0	2501	0	0	0	0	618	0	0	22	0	0	0	0	4	16	0	0	156	32
X11402.MC182.fastq.gz	0	4	0	512	0	0	0	0	0	0	84	0	0	0	2	0	622	3	22	0	277	0	449	0	1227	0	0	0	0	0	0	0	0	6	0	1580	68	0	0	11763	0	0	0	0	0	0	430	0	0	6	0	14	6	0	48	0	0	0	0	0	0	0	87	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1335	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	111	0
X11402.MC186.fastq.gz	0	158	18	2	0	0	0	0	0	0	0	0	0	29	0	0	77	0	628	0	203	0	3810	0	1319	0	0	0	0	0	3292	101	494	0	0	516	0	0	0	5616	5	0	0	0	0	49	3701	0	10	0	0	372	6	0	0	0	0	0	0	0	0	0	123	6	2	0	0	16	0	0	9	109	0	0	0	0	2	0	149	0	0	0	0	0	13	1069	7	0	0	0	14	0	0	9	0	97	0	0	0	0	0	260	108	0
X11402.MC190.fastq.gz	0	29	0	0	0	0	0	0	0	0	213	0	0	0	0	0	3	0	0	0	201	0	879	0	1009	0	0	50	0	0	0	0	0	0	0	757	0	0	42	10472	62	0	0	0	0	0	23	4	0	0	0	0	0	0	16	0	0	0	98	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	842	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	16	0
X11402.MC192.fastq.gz	0	0	0	0	0	4	0	0	0	0	10	0	0	6	0	0	10	875	7	7	1381	6	5260	11	24	0	0	5	0	9	0	0	0	17	0	142	33	4	0	19593	3	0	0	0	57	0	464	13	0	0	0	735	438	0	0	0	158	0	0	6	0	0	84	0	0	0	0	147	0	14	436	582	0	0	0	0	0	0	11	0	0	0	0	0	3	61	1145	0	0	0	1812	0	0	16	0	0	0	0	0	0	0	23	31	0
X11402.MC195.fastq.gz	0	0	0	0	0	0	0	0	0	0	0	3	0	94	1044	0	3	902	0	0	64	0	4027	0	5	0	0	0	0	54	0	17	0	0	0	437	0	0	0	1831	0	0	0	0	0	0	11677	64	0	0	0	0	0	0	56	0	0	0	25	0	4	0	43	0	0	0	0	232	0	0	1746	5230	9	49	27	6	21	0	55	63	45	7	0	481	71	0	545	19	26	0	507	201	0	364	2	0	1583	319	16	0	378	13	159	0
X11402.MC196.fastq.gz	0	0	434	0	0	76	0	0	0	0	0	0	34	0	723	291	44	526	0	11	562	0	2567	0	5	0	0	0	10	0	2	3	0	0	0	13	3	0	0	6838	14	0	0	103	8	0	90	188	2674	2	6	15	744	0	0	0	41	3662	0	0	0	0	0	1790	0	99	304	106	0	0	906	1208	0	384	5	6	26	0	0	0	0	176	62	580	369	0	1364	14	245	0	1137	46	12	246	171	0	16	641	33	0	110	0	0	0
X11402.MC199.fastq.gz	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	4657	39	224	0	9	0	0	0	0	0	0	9	0	138	60	0	0	22578	0	0	0	0	0	0	0	0	0	15	0	466	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X11402.MC201.fastq.gz	0	9	0	0	0	0	0	0	0	0	38	0	0	17	0	0	0	539	0	2	76	6	14540	0	76	0	0	0	0	0	0	0	0	0	0	38	3	0	0	13317	0	0	0	0	0	0	14	0	1512	0	0	0	13	0	5	0	0	13	4	0	0	0	29	0	0	0	0	0	0	2	0	24	0	0	0	0	3	0	0	0	0	0	0	0	14	123	0	0	0	0	459	0	0	23	0	0	0	0	0	0	0	0	131	0
X11402.MC204.fastq.gz	0	0	0	999	0	0	0	0	0	0	0	5	0	0	339	430	248	0	42	0	724	0	283	12	515	0	3	0	0	0	0	12	0	5	21	623	14	33	0	15817	0	0	0	0	0	0	167	0	42	29	0	553	39	0	0	0	0	0	7	0	0	0	30	0	0	0	0	0	0	0	28	711	0	0	0	0	0	0	0	0	0	0	0	6	4	20	436	0	0	0	467	0	0	489	0	3	0	0	0	0	0	25	318	0
X11402.MC205.fastq.gz	5	0	8	0	56	8	0	0	13	4	17	0	0	0	0	0	2	0	0	0	250	5	682	0	459	0	0	4	0	0	0	0	0	0	0	44	10	0	0	26026	78	0	0	0	0	0	222	13	0	0	14	1052	168	21	16	3	0	0	19	0	0	0	205	0	0	0	0	48	0	0	0	16	5	9	0	0	0	0	3	15	0	0	0	0	0	70	179	0	0	22	258	0	0	73	0	0	0	0	0	0	0	0	24	186
X11402.MC206.fastq.gz	0	0	22	0	0	135	0	0	0	0	12	0	15	0	0	0	0	0	0	24	212	0	66	0	0	0	0	88	0	0	0	0	100	0	0	0	0	0	0	61	40	0	0	0	0	0	81	2	0	0	0	0	238	136	14	6	0	0	0	0	19	0	64	0	773	6	0	66	0	26	707	1026	3	58	149	6	61	46	0	189	326	47	189	1887	2245	32	240	95	13	0	7104	593	20	2082	200	0	243	145	71	641	93	0	37	42
X11402.MC208.fastq.gz	0	0	0	103	0	0	0	0	0	0	8	6	0	0	282	0	154	580	0	0	1898	51	7376	0	15	0	0	5	0	0	0	0	0	15	0	47	15	4	0	14002	9	0	3	0	0	0	132	15	2763	8	0	652	156	0	0	0	15	155	0	0	0	0	0	512	10	153	96	22	0	0	0	728	0	0	0	0	0	0	0	0	0	0	0	42	27	85	10	0	19	0	541	0	0	0	0	0	0	0	14	0	0	12	36	0
X11402.MC214.fastq.gz	0	0	0	0	0	0	0	0	0	0	107	0	0	0	5	0	3	0	0	0	973	0	2471	0	171	0	0	20	0	45	0	0	0	0	0	125	10	0	4	47753	13	0	0	0	0	0	111	0	40	0	0	2900	905	0	41	6	127	0	2	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	8	0	0	0	0	54	25	5744	0	0	0	1923	0	0	0	0	47	0	0	0	0	0	0	451	0
X11402.MC215.fastq.gz	0	148	0	16	0	0	0	0	5	0	24	16	0	0	0	0	1425	0	0	0	257	0	624	0	581	0	0	3	0	71	0	8	0	0	8	303	0	0	0	17886	12	0	23	0	0	0	4796	97	140	0	0	0	0	0	14	0	0	0	103	0	0	0	154	0	0	0	0	0	0	109	4	8	0	0	0	0	4	0	8	0	0	0	0	0	0	699	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	122	0
X11402.MC216.fastq.gz	12	0	4	0	24	11	19	0	0	0	41	64	28	265	1295	0	0	860	0	2	125	0	5184	0	46	0	4	330	10	6	0	8	0	0	0	896	15	3	0	11845	376	29	5	0	0	8	519	154	1087	0	0	2	0	8	7	0	28	0	0	30	2	0	0	0	93	13	0	43	0	0	2163	206	0	167	0	0	3	0	0	8	268	153	0	409	9	8	436	0	0	0	536	77	0	75	0	0	21	0	36	0	0	14	292	0
X11402.MC217.fastq.gz	0	0	31	0	0	119	20	0	0	0	87	0	13	313	512	0	57	569	76	0	1073	0	694	5	0	0	0	5687	179	23	2	38	7	201	0	1344	30	9	3	4263	69	0	12	282	0	0	3015	6	6160	0	0	69	247	0	0	0	36	0	3	5	0	0	0	0	273	0	15	175	5	0	2239	293	4	2217	0	27	0	0	29	9	0	0	0	6	13	76	593	0	119	0	1146	53	0	286	23	0	517	78	0	0	127	0	153	0
X11402.MC218.fastq.gz	0	0	26	0	5	187	0	0	0	0	31	0	35	0	0	0	0	0	0	40	223	0	83	0	0	0	3	156	0	4	0	0	174	0	0	0	0	0	0	49	69	0	0	0	0	0	186	13	0	0	0	0	297	229	21	7	0	0	8	0	22	0	145	0	1089	4	0	98	0	42	982	1215	5	69	184	14	109	50	12	245	481	74	226	1963	2502	46	336	150	10	0	7179	671	0	2525	242	0	434	156	98	781	119	0	25	51
X11402.MC219.fastq.gz	0	0	0	0	0	0	0	5	0	0	7	0	0	2	0	0	0	4	0	0	2346	0	1835	16	40	0	8	0	0	0	108	0	0	0	0	22	35	9	0	23291	0	0	0	0	0	0	121	0	150	8	0	1079	9	0	0	0	112	2550	3	0	0	0	20	0	0	0	0	0	0	0	123	11	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1966	0	0	0	1580	0	0	42	0	7	0	0	0	0	0	0	71	0
